Age ka ,Age [ka b2k],Depth top [m],Depth bot [m],Depth ice/snow [m],Fe [ng/g],Fe flux [mg/m**2/a],Na+ [ng/g],Na flux [mg/m**2/a],Ca2+ [ng/g],Ca flux [mg/m**2/a],,Depth (cm),Age (ka),Soluble iron (%)
0.042,42,18.15,19.3,18.7,1.2,0.25,7.55,169.05,7.4,1.52,,9,15,0.64
0.048,48,19.25,20.4,19.8,6.2,1.29,8.15,184.2,11.9,2.48,,11,16.3,0.89
0.052,52,20.35,21.5,20.9,1.4,0.3,6.55,148.14,1.4,0.29,,15,18.9,0.87
0.055,55,22.55,23.7,23.1,3.1,0.64,6.45,145.86,9.5,1.98,,25,25.4,0.31
0.059,59,23.65,24.8,24.2,0.4,0.09,9,203.32,4.2,0.87,,29,28.1,0.17
0.059,59,24.75,25.9,25.3,4.4,0.91,9.26,209.25,8,1.66,,33,31.7,0.58
0.066,66,25.85,27,26.4,3.6,0.74,6.42,144.18,3.7,0.77,,37,35.2,0.82
0.069,69,26.95,28.1,27.5,1.8,0.37,6.54,146.87,3.3,0.67,,43,40.4,0.3
0.072,72,28.05,29.2,28.6,3.3,0.69,7.28,163.55,7.7,1.58,,53,49.1,0.05
0.076,76,29.15,30.3,29.7,1.8,0.37,3.1,69.63,5.3,1.09,,65,59.8,0.26
0.083,83,30.25,31.4,30.8,4.6,0.95,7.51,168.71,10.7,2.2,,81,76.5,0.29
0.087,87,31.35,32.5,31.9,1.1,0.22,3.63,82.56,5.1,1.06,,91,83.7,0.15
0.089,89,33.55,34.7,34.1,4.7,0.98,3.46,78.82,6.6,1.38,,105,88.5,0.42
0.099,99,34.65,35.8,35.2,1.6,0.33,11.47,261.12,1,0.22,,109,91.5,0.21
0.103,103,35.75,36.9,36.3,8.5,1.77,8.97,204.14,11,2.3,,111,93,0.17
0.106,106,37.95,39.1,38.5,4.2,0.86,6.13,139.1,9.6,2,,115,96,0.21
0.108,108,39.05,40.2,39.6,0.4,0.09,6.54,148.41,5.3,1.11,,119,97.5,0.17
0.114,114,40.15,41.3,40.7,3.5,0.73,9.8,222.5,11.7,2.43,,137,104.4,0.29
0.121,121,41.25,42.4,41.8,3.2,0.67,13.84,314.17,9.7,2.01,,147,108.2,0.15
0.125,125,42.35,43.5,42.9,4.9,1.03,12.89,292.73,12,2.5,,161,121.5,0.05
0.128,128,44.55,45.7,45.1,0.6,0.13,8.93,201.38,9.4,1.93,,165,129.2,0.39
0.141,141,45.65,46.8,46.2,7.4,1.53,5.71,128.71,8.5,1.76,,175,140,0.23
0.145,145,46.75,47.9,47.3,0.1,0.03,7.11,160.35,6.9,1.43,,179,141.5,0.37
0.149,149,50.05,51.2,50.6,2,0.41,7.06,159.22,11.1,2.3,,199,149,0.21
0.153,153,51.15,52.3,51.7,6.4,1.33,14.04,316.44,11.8,2.44,,211,153.5,0.37
0.156,156,52.25,53.4,52.8,2.8,0.58,5.28,118.95,4.6,0.96,,223,163.8,0.69
0.162,162,53.35,54.5,53.9,7.2,1.49,6.72,151.42,13.7,2.84,,227,168.2,0.92
0.167,167,54.45,55.6,55,4.5,0.93,8.53,191.61,8.7,1.79,,233,174.8,0.82
0.171,171,55.55,56.7,56.1,3.7,0.76,14.69,329.94,16.6,3.42,,235,177,0.92
0.175,175,56.65,57.8,57.2,3.9,0.8,8.51,191.17,10.3,2.11,,239,181.4,0.35
0.178,178,57.75,58.9,58.3,4.2,0.86,13.56,304.49,9.4,1.94,,241,183.6,1.3
0.185,185,58.85,60,59.4,4.6,0.94,8.51,191.05,8.9,1.84,,249,191.8,0.49
0.189,189,59.95,61.1,60.5,3.8,0.79,6.75,152.51,10.4,2.15,,267,210.2,0.1
0.194,194,61.05,62.2,61.6,2.1,0.44,7.1,160.29,0,0.01,,269,212.2,0.16
0.198,198,62.15,63.3,62.7,5.3,1.09,11.08,250.09,14.9,3.09,,283,226.5,0.04
0.202,202,63.25,64.4,63.8,2.2,0.45,6.83,154.25,6.8,1.41,,289,232.7,0.59
0.206,206,64.35,65.5,64.9,3.9,0.8,8.64,192.09,9.9,2.02,,293,236.8,0.56
0.211,211,65.45,66.6,66,2.6,0.53,10.25,227.78,6,1.22,,295,238.8,0.4
0.215,215,66.55,67.7,67.1,5.7,1.16,18.38,408.5,11,2.24,,299,242.5,0.09
0.22,220,67.65,68.8,68.2,5.8,1.19,10.11,224.76,11.3,2.31,,305,247.3,0.21
0.224,224,68.75,69.9,69.3,1.5,0.3,11.36,252.36,8.9,1.82,,315,251.6,0.49
0.229,229,69.85,71,70.4,3.9,0.78,10.41,229.17,4.4,0.89,,319,253.3,0.27
0.234,234,70.95,72.1,71.5,3.6,0.73,10.28,226.26,9.5,1.93,,323,255,0.26
0.238,238,72.05,73.2,72.6,4,0.8,24.42,537.69,7.1,1.43,,327,258.3,0.73
0.243,243,73.15,74.3,73.7,4,0.81,8.91,196.17,8.9,1.8,,329,259.9,0.45
0.247,247,74.25,75.4,74.8,0.5,0.11,3.48,76.37,4.9,0.99,,345,271.4,0.63
0.253,253,75.35,76.5,75.9,3.7,0.74,8.43,185.24,5.2,1.04,,355,277,0.23
0.257,257,76.45,77.6,77,9.5,1.91,11.03,242.39,17.9,3.62,,359,279.3,0.37
0.262,262,77.55,78.7,78.1,4.4,0.89,15.21,334.17,3.9,0.78,,361,280.4,0.14
0.267,267,78.65,79.8,79.2,5.1,1.04,11.84,260.07,11.5,2.32,,363,281.5,0.36
0.271,271,79.75,80.9,80.3,2,0.4,4.81,105.73,5.4,1.09,,391,295.3,0.44
0.276,276,80.85,82,81.4,1.4,0.28,7.17,157.52,6.6,1.33,,417,319.6,0.4
0.281,281,81.95,83.1,82.5,3.2,0.65,5.55,121.88,8,1.61,,425,323,0.96
0.286,286,83.05,84.2,83.6,2.2,0.44,5.86,128.72,4.3,0.87,,449,332.8,0.25
0.291,291,84.15,85.3,84.7,4.4,0.88,9.08,198.65,12.9,2.58,,451,333.5,0.39
0.296,296,85.25,86.4,85.8,1.9,0.38,7.52,164.51,4.3,0.86,,457,335.8,0.26
0.301,301,86.35,87.5,86.9,1.3,0.27,4.01,87.66,1.7,0.34,,461,337.3,0.39
0.306,306,87.45,88.6,88,6.1,1.22,6.27,137.2,11.4,2.28,,467,339.5,0.61
0.31,310,88.55,89.7,89.1,4.4,0.88,17.25,376.92,3.2,0.63,,475,345.4,0.88
0.315,315,89.65,90.8,90.2,3.9,0.78,6.51,142.19,9.8,1.97,,481,352,0.56
0.318,318,90.75,91.9,91.3,2,0.4,8.65,189,5.6,1.13,,483,354.2,0.72
0.325,325,91.85,93,92.4,4.6,0.92,6.59,144.06,5.3,1.07,,491,363,0.32
0.33,330,92.95,94.1,93.5,3.8,0.76,10.28,223.95,9.5,1.89,,527,390.8,0.3
0.335,335,94.05,95.2,94.6,3.7,0.75,3.01,65.68,3.4,0.68,,539,398.5,0.02
0.34,340,95.15,96.3,95.7,7.6,1.51,6.01,131.01,10.7,2.13,,541,399.8,0.05
0.343,343,96.25,97.4,96.8,6.4,1.28,12.27,267.41,8.2,1.64,,557,415.2,0.15
0.35,350,97.35,98.5,97.9,1.5,0.3,4.04,88.66,1.6,0.31,,563,422.8,0.19
0.355,355,98.45,99.6,99,3.9,0.79,6.84,150.21,9.1,1.82,,575,439,0.51
0.36,360,99.55,100.7,100.1,4.4,0.89,11.39,249.99,3,0.61,,595,451,0.57
0.365,365,100.65,101.8,101.2,5.1,1.02,13.26,291.13,8.1,1.62,,613,466,1.12
0.368,368,101.75,102.9,102.3,2.9,0.59,6.26,138.11,2.1,0.43,,619,472.4,0.68
